"ROL4","Dialect","DialectGerman","ROL3","ROPAL","Source","EditName","EditDate"
8367,"Tregorrois",,"bre",,"GRN / ROD","BM",4/1/2010 0:00:00
8368,"Vannetais",,"bre",,"GRN / ROD","BM",4/1/2010 0:00:00
8369,"Amubre-katsi",,"bzd",,"GRN / ROD","BM",4/1/2010 0:00:00
8370,"Coroma",,"bzd",,"GRN / ROD","BM",4/1/2010 0:00:00
8371,"Salitre-cabagra",,"bzd","bzd01","GRN / ROD","BM",4/1/2010 0:00:00
8376,"Bru Kok Sa-at",,"bru",,"GRN / ROD","BM",4/1/2010 0:00:00
8377,"Mangkong",,"bru",,"GRN / ROD","BM",4/1/2010 0:00:00
8378,"Tri",,"bru","bru01","GRN / ROD","BM",4/1/2010 0:00:00
8382,"Brunei Malay",,"kxd",,"GRN / ROD","BM",4/1/2010 0:00:00
8383,"Kadaian",,"kxd",,"GRN / ROD","BM",4/1/2010 0:00:00
8384,"Kampong Ayer",,"kxd",,"GRN / ROD","BM",4/1/2010 0:00:00
8385,"Kedayan",,"kxd",,"GRN / ROD","BM",4/1/2010 0:00:00
8388,"Ninkada",,"jid","jid02","GRN / ROD","BM",4/1/2010 0:00:00
8389,"Boua",,"bub",,"GRN / ROD","BM",4/1/2010 0:00:00
8390,"Kwasang",,"mmo",,"GRN / ROD","BM",4/1/2010 0:00:00
8391,"Lagis",,"mmo","mmo01","GRN / ROD","BM",4/1/2010 0:00:00
8392,"Buweyeu",,"bzh",,"GRN / ROD","BM",4/1/2010 0:00:00
8393,"Chimbuluk",,"bzh",,"GRN / ROD","BM",4/1/2010 0:00:00
8394,"Mambump",,"bzh",,"GRN / ROD","BM",4/1/2010 0:00:00
8395,"Papakene",,"bzh",,"GRN / ROD","BM",4/1/2010 0:00:00
8396,"Wins",,"bzh","bzh04","GRN / ROD","BM",4/1/2010 0:00:00
8398,"North Bobe",,"bvb",,"GRN / ROD","BM",4/1/2010 0:00:00
8399,"Southeast Bobe",,"bvb",,"GRN / ROD","BM",4/1/2010 0:00:00
8400,"Southwest Bobe",,"bvb","bvb02","GRN / ROD","BM",4/1/2010 0:00:00
8404,"Bafwakoyi",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8405,"East Bafwangada",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8406,"Ineta",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8407,"Mahaa",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8408,"Makoda",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8409,"Malamba",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8410,"Wadimbisa",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8411,"West Bafwangada",,"buu",,"GRN / ROD","BM",4/1/2010 0:00:00
8413,"Yergyuch",,"bdk","bdk02","GRN / ROD","BM",4/1/2010 0:00:00
8415,"Kuri",,"bdm",,"GRN / ROD","BM",4/1/2010 0:00:00
8416,"Northern Buduma",,"bdm",,"GRN / ROD","BM",4/1/2010 0:00:00
8417,"Southern Buduma","Südliches Buduma","bdm","bdm03","GRN / ROD","BM",4/1/2010 0:00:00
8418,"Mbila",,"bja",,"GRN / ROD","BM",4/1/2010 0:00:00
8420,"Hageulu",,"bgt",,"GRN / ROD","BM",4/1/2010 0:00:00
8421,"Vulava",,"bgt","bgt02","GRN / ROD","BM",4/1/2010 0:00:00
8422,"Barru",,"bug",,"GRN / ROD","BM",4/1/2010 0:00:00
8423,"Bone",,"bug",,"GRN / ROD","BM",4/1/2010 0:00:00
8424,"Camba",,"bug",,"GRN / ROD","BM",4/1/2010 0:00:00
